Dataset,Wandb Run (TimesNet),TimesNet Test Accuracy,Wandb Run (GPT4TS),GPT4TS Test Accuracy
FordA,atomic-spaceship-93,0.9128787879,sparkling-elevator-212,0.9136363636
FordB,dainty-fog-71,0.7543209877,crimson-smoke-190,0.6765432099
FreezerRegularTrain,crisp-fire-29,0.9263157895,royal-sun-149,0.8294736842
FreezerSmallTrain,classic-meadow-76,0.7035087719,twilight-resonance-195,0.5
Fungi,clean-sky-107,0.04301075269,fragrant-sea-226,0.05376344086
GestureMidAirD1,rosy-tree-44,0.2846153846,playful-gorge-164,0.2923076923
GestureMidAirD2,quiet-brook-20,0.1307692308,dashing-thunder-140,0.2
GestureMidAirD3,driven-bush-80,0.08461538462,jolly-feather-199,0.1615384615
GesturePebbleZ1,lilac-valley-48,0.511627907,stellar-cosmos-167,0.6046511628
GesturePebbleZ2,pious-firefly-22,0.3101265823,valiant-forest-142,0.2848101266
GunPoint,efficient-glade-96,0.8866666667,zany-wood-215,0.8466666667
GunPointAgeSpan,skilled-wind-85,0.4936708861,smart-spaceship-204,0.4936708861
GunPointMaleVersusFemale,fast-dream-31,0.6012658228,iconic-energy-151,0.4746835443
GunPointOldVersusYoung,playful-wood-92,0.5079365079,fiery-snow-211,0.5238095238
Ham,silvery-plasma-26,0.6857142857,resilient-mountain-146,0.780952381
Herring,dauntless-bee-54,0.53125,eternal-paper-172,0.578125
InsectWingbeatSound,electric-wood-62,0.5287878788,vocal-field-180,0.5984848485
ItalyPowerDemand,light-spaceship-94,0.8367346939,absurd-frost-213,0.8804664723
Lightning7,sweet-morning-83,0.5753424658,soft-pine-202,0.5616438356
Meat,celestial-waterfall-64,0.4333333333,sleek-capybara-182,0.6666666667
MedicalImages,sage-valley-25,0.5710526316,earnest-blaze-145,0.4960526316
MelbournePedestrian,charmed-field-65,0.7179171792,icy-yogurt-183,0.2074620746
MiddlePhalanxOutlineAgeGroup,treasured-waterfall-45,0.3441558442,tough-universe-165,0.525974026
MiddlePhalanxOutlineCorrect,azure-darkness-56,0.5120274914,crimson-pine-174,0.5189003436
MiddlePhalanxTW,dauntless-breeze-34,0.5064935065,earnest-microwave-154,0.5714285714
MoteStrain,happy-feather-60,0.6996805112,fluent-firefly-178,0.6805111821
OSULeaf,devout-glitter-24,0.3966942149,kind-shadow-144,0.2314049587
PhalangesOutlinesCorrect,chocolate-meadow-101,0.6142191142,laced-music-220,0.6631701632
PickupGestureWiimoteZ,distinctive-frog-98,0.1,ethereal-brook-217,0.08
Plane,earnest-spaceship-79,0.980952381,vague-wood-198,0.9238095238
PowerCons,legendary-blaze-100,0.9555555556,wandering-river-219,0.9888888889
ProximalPhalanxOutlineAgeGroup,ruby-disco-95,0.8682926829,electric-flower-214,0.8390243902
ProximalPhalanxOutlineCorrect,effortless-elevator-28,0.8694158076,amber-sponge-148,0.8006872852
ProximalPhalanxTW,sage-silence-97,0.8,dulcet-breeze-216,0.712195122
ShakeGestureWiimoteZ,vivid-wood-69,0.02,crimson-paper-188,0.08
ShapeletSim,visionary-plant-78,0.5,dry-valley-197,0.4888888889
ShapesAll,brisk-forest-36,0.2383333333,fluent-water-156,0.2366666667
SmoothSubspace,hearty-frog-33,0.44,ancient-sound-153,0.4533333333
SonyAIBORobotSurface1,usual-hill-99,0.5424292845,deep-leaf-218,0.5890183028
SonyAIBORobotSurface2,neat-energy-73,0.6463798531,firm-snowflake-192,0.6495278069
Strawberry,brisk-waterfall-61,0.9459459459,cosmic-dream-179,0.9351351351
SwedishLeaf,devout-lion-87,0.8944,ethereal-snowflake-206,0.8992
Symbols,swift-surf-108,0.864321608,eager-firefly-227,0.6944723618
SyntheticControl,robust-star-35,0.4666666667,amber-monkey-155,0.4366666667
ToeSegmentation1,lemon-flower-75,0.4561403509,lucky-bush-194,0.5614035088
ToeSegmentation2,vibrant-cloud-103,0.7307692308,dandy-flower-222,0.7307692308
Trace,wild-shape-32,0.76,worthy-sun-152,0.71
TwoLeadECG,amber-galaxy-30,0.6330114135,dainty-sun-150,0.657594381
TwoPatterns,lemon-haze-77,0.9885,laced-butterfly-196,0.92325
UMD,helpful-paper-46,0.6805555556,denim-butterfly-166,0.3680555556
UWaveGestureLibraryX,drawn-aardvark-21,0.6878838638,cool-sound-141,0.7487437186
UWaveGestureLibraryY,rare-pyramid-84,0.5474595198,likely-durian-203,0.6479620324
UWaveGestureLibraryZ,pleasant-darkness-109,0.6320491346,lunar-lake-228,0.643495254
Wafer,woven-morning-38,0.9892926671,zesty-monkey-158,0.9935107073
Wine,brisk-dew-51,0.5185185185,icy-leaf-169,0.6111111111
WordSynonyms,daily-spaceship-49,0.3354231975,avid-shadow-168,0.4514106583
Yoga,devout-surf-58,0.6716666667,fanciful-totem-176,0.691
